sample_id,word,predicted_start,predicted_end,timestamp_source,source_video
-HeZS2-Prhc/2,the,0.0,0.54,forced_alignment,-HeZS2-Prhc/2.mp4
-HeZS2-Prhc/2,report,2.67,3.03,forced_alignment,-HeZS2-Prhc/2.mp4
-HeZS2-Prhc/2,and,3.63,4.09,forced_alignment,-HeZS2-Prhc/2.mp4
-HeZS2-Prhc/2,seen,4.42,4.88,forced_alignment,-HeZS2-Prhc/2.mp4
-HeZS2-Prhc/2,solid,6.28,6.79,forced_alignment,-HeZS2-Prhc/2.mp4
-HeZS2-Prhc/2,great,7.29,7.63,forced_alignment,-HeZS2-Prhc/2.mp4
-HwX2H8Z4hY/2,president,0.0,0.33,forced_alignment,-HwX2H8Z4hY/2.mp4
-HwX2H8Z4hY/2,ronald,0.33,0.57,forced_alignment,-HwX2H8Z4hY/2.mp4
-HwX2H8Z4hY/2,reagan,0.57,0.81,forced_alignment,-HwX2H8Z4hY/2.mp4
-HwX2H8Z4hY/2,at,2.86,2.92,forced_alignment,-HwX2H8Z4hY/2.mp4
-HwX2H8Z4hY/2,the,2.92,3.01,forced_alignment,-HwX2H8Z4hY/2.mp4
-HwX2H8Z4hY/2,record,3.01,3.36,forced_alignment,-HwX2H8Z4hY/2.mp4
-MeTTeMJBNc/13,it,0.0,0.57,forced_alignment,-MeTTeMJBNc/13.mp4
-MeTTeMJBNc/13,to,1.68,1.79,forced_alignment,-MeTTeMJBNc/13.mp4
-MeTTeMJBNc/13,a,1.95,2.03,forced_alignment,-MeTTeMJBNc/13.mp4
-MeTTeMJBNc/13,and,3.56,3.7,forced_alignment,-MeTTeMJBNc/13.mp4
-MeTTeMJBNc/13,you,3.81,3.89,forced_alignment,-MeTTeMJBNc/13.mp4
-MeTTeMJBNc/13,gift,4.44,4.97,forced_alignment,-MeTTeMJBNc/13.mp4
-RfYyzHpjk4/2,you,0.49,0.58,forced_alignment,-RfYyzHpjk4/2.mp4
-RfYyzHpjk4/2,call,1.33,1.55,forced_alignment,-RfYyzHpjk4/2.mp4
-RfYyzHpjk4/2,a,2.24,2.28,forced_alignment,-RfYyzHpjk4/2.mp4
-RfYyzHpjk4/2,well,2.85,2.92,forced_alignment,-RfYyzHpjk4/2.mp4
-RfYyzHpjk4/2,planning,3.42,3.77,forced_alignment,-RfYyzHpjk4/2.mp4
-RfYyzHpjk4/2,do,4.57,4.87,forced_alignment,-RfYyzHpjk4/2.mp4
-dxfTGcXJoc/1,for,0.49,0.63,forced_alignment,-dxfTGcXJoc/1.mp4
-dxfTGcXJoc/1,kentucky's,2.73,3.27,forced_alignment,-dxfTGcXJoc/1.mp4
-dxfTGcXJoc/1,and,6.03,6.2,forced_alignment,-dxfTGcXJoc/1.mp4
-dxfTGcXJoc/1,annual,8.98,9.5,forced_alignment,-dxfTGcXJoc/1.mp4
-dxfTGcXJoc/1,other,12.69,12.95,forced_alignment,-dxfTGcXJoc/1.mp4
-dxfTGcXJoc/1,chicago,14.92,15.52,forced_alignment,-dxfTGcXJoc/1.mp4
-egA8-b7-3M/1,i,0.0,0.91,forced_alignment,-egA8-b7-3M/1.mp4
-egA8-b7-3M/1,legal,2.48,2.71,forced_alignment,-egA8-b7-3M/1.mp4
-egA8-b7-3M/1,in,4.49,4.66,forced_alignment,-egA8-b7-3M/1.mp4
-egA8-b7-3M/1,mentor,6.42,6.84,forced_alignment,-egA8-b7-3M/1.mp4
-egA8-b7-3M/1,to,7.81,7.89,forced_alignment,-egA8-b7-3M/1.mp4
-egA8-b7-3M/1,consultants,8.81,9.63,forced_alignment,-egA8-b7-3M/1.mp4
-s9qJ7ATP7w/0,they,0.03,0.09,forced_alignment,-s9qJ7ATP7w/0.mp4
-s9qJ7ATP7w/0,fear,0.95,1.44,forced_alignment,-s9qJ7ATP7w/0.mp4
