condition,modality,rate_or_length,position,accuracy,f1_macro,f1_weighted,mae,pearson
missing_rate,T,0.1,random,0.5119047619047619,0.4788693385470859,0.5061145672098648,0.753410785505836,0.3653758104430511
missing_rate,T,0.2,random,0.5068681318681318,0.47555773405833035,0.5020434218028935,0.7550576216983225,0.35316180448159457
missing_rate,T,0.3,random,0.4945054945054945,0.46462450433760716,0.491643858631937,0.760343171109129,0.34308617995464785
missing_rate,T,0.4,random,0.47802197802197804,0.45165536417160723,0.47802440186229694,0.7660799318165075,0.3262527793823921
missing_rate,T,0.5,random,0.4638278388278388,0.4411037792370039,0.4665934991349747,0.7662408618725949,0.31535713150026295
missing_rate,A,0.1,random,0.5022893772893773,0.4694344354361804,0.496343337614793,0.7498893124023035,0.3766687412570471
missing_rate,A,0.2,random,0.5036630036630036,0.4710488216756204,0.49783412204921085,0.7494035421345288,0.3758539213780378
missing_rate,A,0.3,random,0.5045787545787546,0.4720567437648582,0.49881916525413383,0.7475241116862557,0.3771225534565866
missing_rate,A,0.4,random,0.5027472527472527,0.47014020911758614,0.49721427367200016,0.748094182858453,0.3763347874533602
missing_rate,A,0.5,random,0.50503663003663,0.47307284012540224,0.4997836519345515,0.7467583744650649,0.3776219043568709
missing_rate,V,0.1,random,0.5086996336996337,0.47630393458562176,0.5029517097537053,0.7480870867369784,0.3789757212224158
missing_rate,V,0.2,random,0.5082417582417582,0.4783674587461629,0.5039087839834918,0.7448656570729023,0.38411056381585706
missing_rate,V,0.3,random,0.5068681318681318,0.47734847351752047,0.5031135722577851,0.740119477723149,0.38843149997382986
missing_rate,V,0.4,random,0.5064102564102564,0.47883465295595357,0.5041203732973091,0.7376095926647728,0.3896698163948315
missing_rate,V,0.5,random,0.5013736263736264,0.47647692368660755,0.5011228443960465,0.7359480864659204,0.38730488320479095
