epoch,model_kind,train_loss,train_accuracy,accuracy,f1_macro,f1_weighted,mae,pearson,classification_score,regression_score
1,raw,0.8345533245090884,0.4589101620029455,0.5576923076923077,0.4958538805918164,0.5351784607515715,0.7038885672809556,0.49030307884693086,0.5236811727870375,0.46684012660423235
2,raw,0.6621510288501172,0.6241531664212077,0.5947802197802198,0.511918483542537,0.5553467106047563,0.7333738070792406,0.584803614180574,0.5492062648494942,0.560357820611266
3,raw,0.6108213165810603,0.6559646539027982,0.6098901098901099,0.5707175857751051,0.597160804788644,0.5967647194714288,0.6218524656047477,0.5883452216268573,0.6019603082890335
4,raw,0.5426393122490446,0.6839469808541974,0.6085164835164835,0.595141666084879,0.6115710988320516,0.6505631459908877,0.5819116930746523,0.601160333929101,0.560226254874956
5,raw,0.49524093134238195,0.7110456553755523,0.5879120879120879,0.5913247561628724,0.5954184698192421,0.5998829843009155,0.6408888609494654,0.5897890554500194,0.6208927614727682
6,raw,0.4347852772658633,0.7466863033873343,0.6181318681318682,0.5504819557496413,0.5884853194481364,0.731057080523377,0.6185856222489323,0.5809244163216434,0.5942170528981531
7,raw,0.3884928318116381,0.7896907216494845,0.6043956043956044,0.5611591145553044,0.5927803735388495,0.6257681560873407,0.6252500231902537,0.5806155349834394,0.604391084654009
8,raw,0.31486663312729396,0.8173784977908689,0.6085164835164835,0.5743703697243183,0.6019798655693698,0.6121960577547325,0.6138363742771864,0.5897361209307926,0.5934298390186953
9,raw,0.262335303724251,0.859499263622975,0.5989010989010989,0.5549178805232075,0.5830116353053918,0.6607506734790449,0.6269778902872046,0.5747103287932587,0.6049528678379031
10,raw,0.21858021934710126,0.8992636229749632,0.5673076923076923,0.5598135727356394,0.5724316159672702,0.6251798375987174,0.611139223879085,0.5631859265430632,0.5902998959591278
11,raw,0.17289755936048168,0.9184094256259204,0.6071428571428571,0.5822906646293889,0.6089487825680968,0.5991295401472598,0.6227774318044333,0.5934741512604496,0.602806447132858
12,raw,0.16118802050778722,0.931958762886598,0.5975274725274725,0.5765444614483084,0.5979905945959809,0.6222292528027837,0.607818999603038,0.5859868164339322,0.5870780245096119
