experiment,accuracy,macro_f1,weighted_f1,neg_f1,neutral_f1,pos_f1,neutral_precision,neutral_recall,mae,pearson,trainable_params,epoch,gpu_memory_mb,validation_only,directory
Old SRF-MSA,0.5054945054945055,0.471904058482249,0.4991373928547159,,,,,,0.7509844316394135,0.375191796839608,,12,,True,outputs/q2_v2/00_baseline_reproduction
Run A Oracle,0.6387362637362637,0.6126343461145223,0.6338082440977344,0.6828193832599119,0.4523809523809524,0.7027027027027027,0.5,0.41304347826086957,0.6066223868879855,0.6421072024705385,,6,,True,outputs/q2_v2/01_run_a_oracle_text
C1 position,0.625,0.6052137692345138,0.627316600464174,0.6513994910941476,0.46113989637305697,0.7031019202363368,0.4405940594059406,0.483695652173913,0.6091256083298224,0.6311368314956236,,5,,True,outputs/q2_score_push/C1_position
C1 position small init,0.6263736263736264,0.6140101364898581,0.6312965282009712,0.6778042959427207,0.47761194029850745,0.6866141732283465,0.44036697247706424,0.5217391304347826,0.595476490837857,0.6576023345817467,,5,,True,outputs/q2_score_push/C1_position_smallinit
C2 temporal,0.6208791208791209,0.6023759231092317,0.6214982080586857,0.6650943396226415,0.4582210242587601,0.6838124054462935,0.45454545454545453,0.46195652173913043,0.6333783025498972,0.6171089693881705,5376991,13,360.93017578125,True,outputs/q2_score_push/C2_temporal
C2 temporal dropout .2,0.6071428571428571,0.5870146874306316,0.6070769071103821,0.6793349168646081,0.41304347826086957,0.6686656671664168,0.41304347826086957,0.41304347826086957,0.6210559090784274,0.6394654407536056,5376991,7,360.93017578125,True,outputs/q2_score_push/C2_temporal_dropout02
C3 mean pool,0.6263736263736264,0.5880220657616736,0.6141518783700842,0.6602409638554216,0.4025974025974026,0.7012278308321964,0.5,0.33695652173913043,0.652968694019684,0.6030273227742514,5376991,22,360.42529296875,True,outputs/q2_score_push/C3_pool_mean
C3 attention max pool,0.6291208791208791,0.5890129422873965,0.6165755035943338,0.6666666666666666,0.39215686274509803,0.7082152974504249,0.4918032786885246,0.32608695652173914,0.6517357236215113,0.6160460814858975,5376991,6,361.93603515625,True,outputs/q2_score_push/C3_pool_attention_max
C4 text centered fusion,0.6085164835164835,0.5919256174848518,0.6110869637783246,0.6589861751152074,0.44386422976501305,0.672926447574335,0.4271356783919598,0.46195652173913043,0.6128020595649134,0.645100675174304,6232545,5,417.26708984375,True,outputs/q2_score_push/C4_text_centered_fusion
C5 CE,0.6071428571428571,0.5909900775511675,0.6095043365597327,0.651685393258427,0.45144356955380577,0.6698412698412698,0.4365482233502538,0.4673913043478261,0.6729279022014912,0.6255444947935132,5376991,16,360.93017578125,True,outputs/q2_score_push/C5_loss/ce
C5 CE smoothing,0.6236263736263736,0.6113824612322462,0.6281573717983396,0.6619047619047619,0.48877805486284287,0.6834645669291338,0.45161290322580644,0.532608695652174,0.5981015738328167,0.6326746188874204,5376991,8,360.93017578125,True,outputs/q2_score_push/C5_loss/ce_smooth
C5 sqrt weighted CE,0.6222527472527473,0.5936512748896342,0.6174280922095053,0.6413502109704642,0.44036697247706424,0.6992366412213741,0.5034965034965035,0.391304347826087,0.6071879318075774,0.5931005397694057,5376991,3,360.93017578125,True,outputs/q2_score_push/C5_loss/weighted_ce_sqrt
C5 focal,0.6085164835164835,0.595141666084879,0.6115710988320516,0.6455981941309256,0.4742268041237113,0.6656,0.45098039215686275,0.5,0.6505631459908877,0.5819116930746523,5376991,4,360.93017578125,True,outputs/q2_score_push/C5_loss/focal
C5 regression .3,0.6153846153846154,0.5985797254024497,0.6193460271860048,0.6233062330623306,0.4792176039119804,0.6932153392330384,0.43555555555555553,0.532608695652174,0.5915231023819805,0.6313455682201613,5376991,5,360.93017578125,True,outputs/q2_score_push/C5_regression/0p3
C5 regression .8,0.6153846153846154,0.5811911805654836,0.6076100070191539,0.6567164179104478,0.39156626506024095,0.6952908587257618,0.4391891891891892,0.3532608695652174,0.601074089294723,0.6384296016318677,5376991,12,360.93017578125,True,outputs/q2_score_push/C5_regression/0p8
C5 lr 2e-4,0.614010989010989,0.5998645195420352,0.6179022565683829,0.6446700507614214,0.47619047619047616,0.6787330316742082,0.4418604651162791,0.5163043478260869,0.6094827878274213,0.6401751004668055,5376991,5,360.93017578125,True,outputs/q2_score_push/C5_lr2e4
C6 EMA,0.635989010989011,0.5780711226888205,0.6111178572282784,0.6651982378854625,0.3471698113207547,0.7218453188602443,0.5679012345679012,0.25,0.6495394825613623,0.6412488357845474,5376991,3,381.4443359375,True,outputs/q2_score_push/C6_ema
Deployable BERT frozen,0.6387362637362637,0.6126343461145223,0.6338082440977344,,,,,,0.6066223801691584,0.6421072345645275,,,,True,outputs/q2_score_push/deployable_bert/frozen_bridge
Deployable BERT last 4,0.6428571428571429,0.6168550613170211,0.6382983176644506,0.6486486486486487,0.48823529411764705,0.7136812411847673,0.532051282051282,0.45108695652173914,0.629683652107545,0.6159403850621744,29046367,25,1247.7744140625,True,outputs/q2_score_push/deployable_bert/partial_last4
Deployable BERT distill .1,0.6195054945054945,0.5950112041299643,0.6175067048647874,0.6256983240223464,0.46236559139784944,0.696969696969697,0.4574468085106383,0.4673913043478261,0.63665731513606,0.6227180718894495,29046367,4,1248.2294921875,True,outputs/q2_score_push/deployable_bert/distill_0p1
Deployable BERT distill .05,0.6195054945054945,0.5950112041299643,0.6175067048647874,0.6256983240223464,0.46236559139784944,0.696969696969697,0.4574468085106383,0.4673913043478261,0.6369342573446345,0.6225255142796854,29046367,4,1248.2294921875,True,outputs/q2_score_push/deployable_bert/distill_0p05
Deployable BERT distill .2,0.6195054945054945,0.5950112041299643,0.6175067048647874,0.6256983240223464,0.46236559139784944,0.696969696969697,0.4574468085106383,0.4673913043478261,0.6362913207619215,0.6230701070244696,29046367,4,1248.2294921875,True,outputs/q2_score_push/deployable_bert/distill_0p2
Mild Neutral oversampling,0.6016483516483516,0.600377211817363,0.6091329080595752,0.6743119266055045,0.4956140350877193,0.6312056737588653,0.41544117647058826,0.6141304347826086,0.6141636228156251,0.644029760232393,694879,3,47.51806640625,True,outputs/q2_score_push/neutral_sampler
3-seed ensemble,0.6277472527472527,0.6085496226600494,0.6289163234175652,0.6821345707656613,0.44919786096256686,0.6943164362519201,0.4421052631578947,0.45652173913043476,0.6109907648696384,0.6639704858989539,,,,True,outputs/q2_score_push/ensemble
